品目	標準原価
P00A0702100	5244
P00A0702101	1513.623
P00A0703006	52400
P00A0703200	2879
P00A0703400	8843
P00A0703403	9082.265
P00A0703404	9101
P00A0703600	16948
P00A0703700	20630
P00A0703900	14239
P00A0704000	4457
P0A227205	3998
P0A227206	3960
P0A228900	16849
P0A230202	21570
P0A230203	24448
P0A230300	18871
P0A230302	18946
P0A230500	14841
P0A230502	4256
P0A238300	47818
P0A238400	23978
P0A239500	876
P0A243200	4990
P0A243300	4892
P0A243400	633
P0A243401	958
P0A243403	137.41
P0A243404	37600
P0A245600	6716
P0A245601	5581
P0A245602	6715
P0A245603	6710
P0A245800	5913
P0A246000	6949
P0A246101	11218
P0A249600	20140
P0A250503	3020
P0A261004	668
P0A261500	10149
P0A261505	10141
P0A261526	11645
P0A261527	10162
P0A261528	27894
P0A261531	19131
P0A261532	11645
P0A261600	3948
P0A263705	12420
P0A263709	12351
P0A263800	21294
P0A264601	9121
P0A265500	5288
P0A265801	17822
P0A265808	24668
P0A265809	17807
P0A265810	27366
P0A277001	6537
P0A277201	8276
P0A277500	5558
P0A277900	2202
P0A277901	2160
P0A277902	2140
P0A277904	2355
P0A278500	10665
P0A278600	6556
P0A279803	30890
P0A279804	22425
P0A279805	21975
P0A279807	29125
P0A279808	28652
P0A279809	27717
P0A279814	23451
P0A279815	29009
P0A279817	29518
P0A279834	12781
P0A279835	29237
P0A279838	26613
P0A279840	28658
P0A279846	28990
P0A279850	12753
P0A279854	12673
P0A279856	20446
P0A279900	35900
P0A279901	35669
P0A279902	8747
P0A279903	36180
P0A279904	35970
P0A279905	35816
P0A279906	28077
P0A279907	35880
P0A279908	35683
P0A279913	36195
P0A280006	45525
P0A280007	45028
P0A280008	46135
P0A280009	45350
P0A280010	44871
P0A280011	45625
P0A280014	46502
P0A280016	43086
P0A280017	42724
P0A286421	38852
P0A286422	38852
P0A286423	34003
P0A292100	27071
P0A293100	57507
P0A293101	58108
P0A293102	51678
P0A293104	56085
P0A293106	57941
P0A294500	2718
P0A294600	2751
P0A297603	5938
P0A297612	18762
P0A297614	5384
P0A297615	18807
P0A297616	5156
P0A297619	17774
P0A297621	18591
P0A305202	6505
P0A306400	5281
P0A306500	4252
P0A306600	5940
P0A308100	4725
P0A308102	4164
P0A308103	0
P0A308200	32823
P0A308300	8461
P0A308706	5815
P0A309408	6138
P0A309409	6138
P0A309410	6138
P0A309411	6138
P0A309412	6141
P0A309413	11440
P0A309414	11396
P0A309415	11396
P0A309416	9798
P0A309432	10702
P0A309433	6138
P0A309600	1798
P0A309706	3843
P0A309710	3480
P0A313700	1685
P0A314100	18729
P0A314200	13303
P0A314202	13721
P0A318600	3609
P0A319416	66748
P0A319424	38971
P0A319425	66921
P0A320100	15178
P0A320517	23455
P0A320520	25057
P0A320700	2514
P0A320900	19009
P0A279914	35664
P0A279915	27771
P0A279919	27950
P0A279923	34438
P0A279925	27992
P0A280000	47461
P0A280002	45813
P0A280003	45089
P0A280004	45071
P0A280018	41947
P0A280028	46091
P0A280100	7918
P0A286407	38852
P0A286408	38852
P0A286409	38895
P0A286412	39038
P0A286413	38844
P0A286420	38852
P0A293108	59163
P0A293110	58894
P0A293112	58106
P0A293121	25566
P0A293134	25367
P0A293138	48023
P0A293152	58300
P0A294300	4315
P0A294400	2720
P0A297622	18493
P0A297629	5414
P0A297630	17693
P0A297631	18519
P0A297632	18760
P0A299300	3179
P0A302000	8617
P0A303403	8288
P0A305200	8692
P0A308303	3796
P0A308400	2507
P0A308401	1461
P0A308500	1623
P0A308501	938
P0A308600	33501
P0A308603	55327
P0A308604	42332
P0A308700	12121
P0A309417	6142
P0A309418	9526
P0A309419	12085
P0A309424	11986
P0A309427	9843
P0A309428	9843
P0A309429	9843
P0A309430	9843
P0A309431	10637
P0A314300	2323
P0A314500	2186
P0A314800	1808
P0A316100	42238
P0A316101	13445
P0A316102	14739
P0A316104	31613
P0A316107	31652
P0A316200	3729
P0A321300	3207
P0A321301	1237
P0A321900	1709
P0A321902	0
P0A324500	51318
P0A324501	17985
P0A325600	3499
P0A325601	3006
P0A326000	36387
P0A326100	11578
P0A326200	17179
P0A326201	3004
P0A326601	9655
P0A326603	9655
P0A326604	8657
P0A326800	29819
P0A326803	35188
P0A326805	28642
P0A328902	22496
P0A328904	16743
P0A328905	34147
P0A329600	16250
P0A329601	35273
P0A330600	37235
P0A330900	7862
P0A331000	1002
P0A331100	552
P0A336703	628
P0A336704	913
P0A336705	501
